TXT003,TXT012,TXT013,TXT014,TXT015,TXT016,TXT017,TXT018,TXT019,TXT020,TXT021,TXT022,TXT023,a1,a2,a3
30002,Administración de servicios internos,Analiza los elementos y componentes necesarios para la administración de servicios en el sistema operativo Linux.,4,Implementación y administración de servicios de intranet,"Aplica los comandos de línea (CLI) y herramientas gráficas necesarios para la instalación, configuración y administración de servicios de intranet en el sistema operativo Linux.",3,Implementación y administración de servicios de internet,"Aplica los comandos de línea (CLI) y herramientas gráficas necesarios para la instalación, configuración y administración de servicios de intranet en el sistema operativo Linux.",3,Seguridad y automatización de servicios,Utiliza los comandos de línea (CLI) y herramientas gráficas para el aseguramiento y automatización de los servicios de red en el sistema operativo Linux de acuerdo con las buenas prácticas y estándares de la industria.,4.0,,,
30003,Administración remota y acceso remoto,Configura los servicios para la administración remota y el acceso remoto en redes basadas en la plataforma operativa Windows.,4,Tecnologías de almacenamiento y clúster,"Optimiza el uso de los recursos de almacenamiento, configura el almacenamiento en red y crea clústeres.",3,"Virtualización, contenedores y Migración de controladores de dominio","Administra máquinas virtuales, contenedores con Hyper-V y migración de servidores de dominio Active Directory.",3,Servicios de redes empresariales,Reconoce los beneficios de la virtualización e Identifica la nube y sus servicios; aplica los mejores procedimientos y prácticas de seguridad.,4.0,,,
30004,"Instalación, configuración y administración de servidor","Identifica las distintas ediciones que ofrece Microsoft SQL Server 2014, e instala y configura un servidor de base de datos.",3,"Administración de la seguridad, copia de seguridad y restauración de una base de datos","Identifica las distintas formas de autenticación del servidor SQL, creando cuentas de usuario y asignando permisos. Establece una estrategia para implementar copias de seguridad y ejecutar procesos de restauración de una base de datos.",4,Seguimiento de actividades y mantenimiento de la base de datos,Soluciona problemas de rendimiento en el servidor de base de datos y programa tareas de mantenimiento mediante las alertas y operadores.,4,Alta disponibilidad de servidores de bases de datos,Identifica las distintas soluciones de alta disponibilidad y las implementa y configura.,3.0,,,
30005,"La Empresa, la identificación de Oportunidades de Negocios y el Proceso Administrativo","Identifica ideas de negocio innovadoras a partir de una propuesta de valor diferente en el mercado, teniendo en cuenta los factores del ambiente externo.",3,La Administración Estratégica y el Diseño Organizacional,"Analiza y selecciona propuestas estrategias, a partir de la comprensión de la situación actual de la empresa, el negocio y el mercado.",4,Los Procesos y La Cultura Organizacional,Identifica y conoce las actividades de una organización en los aspectos de gestión de procesos y gestión humana,4,Responsabilidad Social y Ética en los Negocios,Elabora una propuesta de responsabilidad social empresarial reconociendo su impacto en el mundo de los negocios.,3.0,,,
30006,Reclutamiento y selección de la fuerza de ventas,Reconoce claramente las etapas del proceso de reclutamiento y selección de la fuerza de ventas.,3,Entrenamiento y formación de la fuerza de ventas,Analiza la importancia de la formación continua de la fuerza de ventas.,4,Dirección y motivación de la fuerza de ventas,"Establece y utiliza herramientas de control y seguimiento, así como sistemas de motivación de la fuerza comercial.",4,Evaluación y compensación de la fuerza de ventas,Desarrolla un plan de evaluación de resultados que esté alineado al sistema de compensación de la fuerza de ventas.,3.0,,,
30007,Instalación del sistema operativo GNU/Linux,Reconoce y analiza los elementos y componentes necesarios para la instalación del sistema operativo Linux en un equipo y/o servidor de cómputo.,3,"Gestión de usuarios, grupos, permisos, privilegios y redes TCP/IP","Aplica los comandos de línea (CLI) y herramientas gráficas necesarias para la creación, modificación y eliminación de usuarios y grupos, la asignación de permisos y privilegios, y la configuración de las interfaces de red.",4,"Gestión de almacenamiento, permisos especiales y procesos","Aplica los comandos de línea (CLI) para administrar particiones y discos duros en una red interna, y para administrar permisos especiales y procesos en el sistema.",3,Administración de paquetes y software,"Reconoce y aplica los comandos de línea (CLI) y herramientas gráficas para la instalación, actualización y eliminación de paquetes y software en el sistema.",4.0,,,
30008,Introducción a la creación y consumo de servicios web,"Crea un sitio web que muestra datos de una base a través de servicios web en una aplicación One Page, mostrando en una de sus páginas una consulta maestro detalle de una tienda.",3,Búsquedas y consultas en una aplicación a través de servicios web,"Implementa diversos tipos de consulta, enviando uno o varios parámetros al servidor para diversos procedimientos de búsqueda, ordenamiento y paginación, consumiendo siempre servicios web en el lado del servidor y consultándolos desde el cliente.",4,Almacenamiento y modificación de datos en el servidor,"Inserta y modifica datos en el servidor para la actualización de la base de datos en procedimientos de mantenimiento de tablas, así como en el almacenamiento de datos de un carrito de compras.",4,Implementación de funcionalidades adicionales,"Agrega funcionalidades adicionales al sitio web, como el envío de correo, mejoras a la interfaz mediante el procedimiento de arrastrar y soltar, así como empleando los servicios web, mapas de Google y los de Firebase.",3.0,,,
30009,Implementación y administración de clientes y servidores Windows,"Aplica los principios fundamentales en la instalación y configuración de equipos clientes y servidores en redes basadas en la plataforma operativa Windows, y administra objetos dentro de un entorno de Dominio con Active Directory.",4,Implementación de políticas de seguridad y administración de recursos y servicios de red,Crea y administra políticas de seguridad para los recursos en un entorno de dominio e implementa servicios de red.,3,"Implementación, configuración y administración de servicios web y de mensajería","Implementa los servicios web con Internet Information Services (IIS) y de mensajería con Exchange Server 2019, en redes empresariales.",4,"Relaciones de confianza, copias de seguridad y recuperación ante desastres",Gestiona la operatividad de una red empresarial e implementa servicios de copias de seguridad y arreglos de disco.,3.0,,,
30010,Algoritmos para estructuras de datos lineales y estáticas,Desarrolla programas para realizar operaciones sobre los datos almacenados en un arreglo unidimensional (vector) y evalúa la eficiencia de los algoritmos aplicados.,4,Algoritmos para estructuras de datos lineales y dinámicas,Desarrolla programas para realizar operaciones sobre los datos almacenados en una lista enlazada y evalúa la eficiencia de los algoritmos aplicados.,3,Algoritmos para estructuras de datos LIFO y FIFO,"Desarrolla programas para realizar operaciones sobre los datos almacenados en una estructura lineal de tipo LIFO o FIFO, eligiendo la más apropiada para resolver una situación del mundo real.",3,Algoritmos para estructuras de datos no lineales,"Desarrolla programas para realizar operaciones sobre los datos almacenados en una estructura no lineal, eligiendo la más apropiada para resolver una situación del mundo real, comparando el rendimiento de los procedimientos iterativos contra los procedimientos recursivos.",4.0,,,
30011,Costos de Producción,"Planea los costos de producción a través de sistemas, formatos y metodologías de gestión.",4,Estados o informes financieros de Costos,"Emite informes financieros para estimar los costos de producción, ventas y resultados para proyectar la rentabilidad de una empresa.",3,Sistemas de Costos por órdenes de producción,Aplica costos por órdenes de producción de acuerdo a órdenes de trabajo de empresas industriales.,3,Costos de gestión y Presupuestos,Aplica costos para mejorar la gestión de una empresa y desarrolla presupuestos para proyectar su liquidez y rentabilidad.,4.0,,,
30012,Estadística descriptiva I,"Participa activamente en el diseño estadístico del proyecto de investigación en los procesos de recopilación, procesamiento y análisis de datos.",4,Estadística Descriptiva II,"Obtiene, a través de cálculos matemáticos, valores intermedios y nuevos puntos en una tabla de distribución de frecuencias (interpolación). Analiza los resultados para elaborar conclusiones, haciendo uso de herramientas para la construcción de gráficos estadísticos a través de una tabla de frecuencias.",3,"Medidas de tendencia central, no central y de variabilidad","Analiza el uso de las medidas de tendencia central, no central y de variabilidad en situaciones del campo de los negocios.",4,Tendencias porcentuales y regresión lineal,"Calcula, analiza, interpreta y aplica las tendencias porcentuales, a través de las variaciones, variaciones porcentuales e índices simples y Laspeyres, para la toma de decisiones en diferentes actividades que se realiza en la gestión diaria de una empresa.",3.0,,,
30014,Contexto empresarial de los procesos,"Identifica las estructuras formales e informales existentes en toda organización analizando componentes como los organigramas, roles y funciones además de analizar la cultura organizacional y el clima laboral.",4,La descripción de los procesos,Elabora una representación gráfica de los procesos de una organización utilizando la simbología y la sintaxis tradicional de los diagramas de flujo considerando las buenas prácticas.,3,Seguimiento y medición de los procesos,Propone y Diseña Indicadores para la Medición de Procesos y establece los pasos necesarios para su medición periódica.,4,La mejora continua de los procesos,Propone mejoras a los procesos con base en la ejecución de herramientas para la gestión de la calidad y el análisis de problemas para procesos repetitivos y no repetitivos.,3.0,,,
30015,La importancia del entorno empresarial,Identifica las variables del entorno empresarial que afectan el desarrollo de las empresas y construye propuestas de negocios.,3,Herramientas de análisis,Aplica las herramientas de análisis para diferentes situaciones empresariales.,4,Entorno y estrategia,Establece objetivos y propone estrategias empresariales sustentadas en los resultados de un diagnóstico del análisis del entorno.,4,Implementación de la estrategia,"Diseña un plan con objetivos, que dan origen a estrategias generales y secundarias para la empresa asignada, así como el debido control de los mismos.",3.0,,,
30016,Análisis de Cuentas de Estados Financieros,Analiza las cuentas que representan valores significativos de los estados financieros a partir de su formulación e interrelación.,3,Análisis Vertical y Horizontal de Estados Financieros,Aplica el análisis vertical y horizontal a los estados financieros y analiza la estructura y tendencia de sus principales cuentas que tienen mayor impacto en sus resultados y situación financiera.,4,Indicadores Financieros para la Toma de Decisiones,"Aplica análisis de ratios financieros, analiza la rentabilidad a través del sistema Dupont; y, emite informes a partir de análisis financiero integral, pensamiento crítico y recomendaciones capaces de generar valor a la compañía.",4,Análisis de los indicadores financieros y el modelo Dupont,"Analiza los indicadores financieros referidos a la liquidez, gestión, solvencia y rentabilidad; asimismo, utiliza el modelo de rentabilidad Dupont.",3.0,,,
30017,Análisis empresarial,Elabora el documento que describe la estrategia de análisis de negocio que se empleará ante situaciones problemáticas en una organización específica.,3,Necesidad y requisitos de negocio,Utiliza técnicas BABoK® para la definición y descripción de la necesidad y requisitos de negocio.,4,Diseño de solución,Utiliza técnicas BABoK® para la definición y descripción del diseño de la solución que atenderá la necesidad de negocio.,3,Construcción y puesta en producción,Utiliza técnicas BABoK® para la definición y descripción de la evaluación de la solución que atenderá la necesidad de negocio.,4.0,,,
30019,Introducción a la tributación,"Reconoce los principales tributos que sirven como fuente de financiamiento para el Estado peruano, así como el organismo encargado de la recaudación y fiscalización de los tributos.",3,Determinación de tributos y deducciones,"Analiza y determina los importes que resulten por pagar o saldos a favor de cada tipo de tributo (de la primera a la quinta categoría).de personas naturales , personas jurídicas y personas no domiciliados.",4,Impuesto General a las Ventas,"Reconoce y determina la liquidación mensual del IGV general y la reducción del IGV para las microempresa y pequeñas empresas del sector turismo hoteles, restaurantes y alojamiento turísticos. y las operaciones gravadas, exoneradas e inafectas al impuesto general a las ventas.",4,Regímenes tributarios,Reconoce los diversos regímenes tributarios de renta de 3a categoría para los negocios establecidos por el Estado y el sistema para declarar impuestos.,3.0,,,
