TXT003,TXT001
30002,ADMINISTRACION AVANZADA DE LINUX
30003,ADMINISTRACION AVANZADA DE WINDOWS
30004,ADMINISTRACION DE BASE DE DATOS
30005,ADMINISTRACION DE EMPRESAS Y RESPONSABILIDAD SOCIAL
30006,ADMINISTRACION DE LA FUERZA DE VENTAS
30007,ADMINISTRACION DE LINUX
30008,PROGRAMACION WEB I
30009,ADMINISTRACION DE WINDOWS
30010,ALGORITMO Y ESTRUCTURA DE DATOS
30011,ANALISIS DE COSTOS Y PRESUPUESTOS
30012,ANALISIS DE DATOS
30014,ANALISIS DE LOS PROCESOS EMPRESARIALES
30015,ANALISIS DEL ENTORNO DE NEGOCIOS
30016,ANALISIS FINANCIERO PARA LA TOMA DE DECISIONES
30017,ANALISIS FUNCIONAL
30019,ANALISIS Y GESTION TRIBUTARIA
30020,ANALITICA DE SISTEMAS EMPRESARIALES
30021,ANIMACION DE PERSONAJES TRIDIMENSIONALES
30022,ANIMACION FACIAL
30023,ANIMACION TRADICIONAL
30024,APLICACIONES MOVILES PARA ANDROID
30025,APLICACIONES MOVILES PARA IPHONE
30026,INTERACCION Y EXPERIENCIA DE USUARIO
30028,TALLER DE ARTE CULINARIO
30029,AUDIOVISUALES
30031,BRANDING Y GESTION DE PRODUCTOS
30032,CALIDAD Y PRUEBAS DE SOFTWARE
30033,CCNA I: FUNDAMENTOS DE REDES
30034,CCNA II: ROUTING & SWITCHING
30035,CCNA III: SCALING NETWORK
30036,CCNA IV: CONECCTION NETWORK
30037,CCNA SECURITY
30038,CENTRO DE DATOS CLOUD
30039,COACHING EJECUTIVO
30041,COMPETENCIAS INTRAPERSONALES
30042,COMPORTAMIENTO DEL CONSUMIDOR Y SOCIOLOGIA COMERCIAL
30043,COMPOSICION CINEMATOGRAFICA
30044,COMUNICACION EXTERNA
30045,COMUNICACION DIGITAL EFECTIVA
30046,COMUNICACION PARA EL DESARROLLO SOSTENIBLE
30047,COMUNICACION ESCRITA
30049,COMUNICACIONES INTEGRADAS PARA EL MARKETING
30050,CONSTRUCCION DE GUION
30051,CONTABILIDAD GERENCIAL PARA LA TOMA DE DECISIONES
30052,CONTROL DE RIESGOS DEL COMERCIO EXTERIOR
30053,COTIZACIONES INTERNACIONALES
30054,CREACION DE ESCENARIOS 3D
30055,CREATIVIDAD APLICADA
30056,CREATIVIDAD DIGITAL
30057,CREATIVIDAD GRAFICA PUBLICITARIA
30058,DERECHO COMERCIAL Y ACUERDOS INTERNACIONALES
30059,DESARROLLO DE APLICACIONES EMPRESARIALES I
30060,DESARROLLO DE APLICACIONES EMPRESARIALES II
30061,DESARROLLO DE APLICACIONES I
30062,DESARROLLO DE APLICACIONES II
30063,DESARROLLO DE RESILIENCIA
30064,DESARROLLO DE SOLUCIONES CLOUD
30066,DESARROLLO DE VIDEOJUEGOS EN 2D - II
30067,DESARROLLO DE VIDEOJUEGOS EN 3D
